z | generated   |  predicted |   filtered | smoothed
z,t,x,y,speeed,xz,yz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz
0.,67.2745,0,0,3.62575e-09,0.683346,1.05269,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,67.2735,4.6647e+06,0.00218665,4.6647e+06,0.00336853,4.6647e+06,0.215273,9.32941e+08,0.246015,9.32941e+08,0.378986,9.32941e+08
0.005,67.2745,0.00341673,0.00526347,3.62575e-09,0.683346,1.05269,0,1.00001e+09,0,1.00001e+09,0,1.00001e+09,0,1e+09,0,1e+09,0,1e+09,67.2745,0,0.00341673,0,0.00526347,0,0.336364,9.99988e+08,1.70832e-05,9.99988e+08,2.63167e-05,9.99988e+08,67.2745,0,0.00341673,0,0.00526347,0,0.215273,9.32941e+08,0.246015,9.32941e+08,0.378986,9.32941e+08
0.01,67.2745,0.00683346,0.0105269,3.62575e-09,0.683346,1.05269,67.2762,4.99994e+06,0.00341682,4.99994e+06,0.0052636,4.99994e+06,0.336364,9.99988e+08,1.70832e-05,9.99988e+08,2.63167e-05,9.99988e+08,67.2745,0,0.00683346,0,0.0105269,0,5.8183e-09,-nan,0.683346,-nan,1.05269,-nan,67.2745,0,0.00683346,0,0.0105269,0,5.8183e-09,6998.17,0.683346,12366.2,1.05269,8744.3
0.015,67.2745,0.0102502,0.0157904,3.62575e-09,0.683346,1.05269,67.2745,-nan,0.0102502,-nan,0.0157904,-nan,5.8183e-09,-nan,0.683346,-nan,1.05269,-nan,67.2745,0.00100004,0.0102502,0.00100004,0.0157904,0.00100004,5.8183e-09,0.14986,0.683346,0.14986,1.05269,0.14986,67.2745,0.00100004,0.0102502,0.00100004,0.0157904,0.00100004,5.8183e-09,0.14986,0.683346,0.14986,1.05269,0.14986
0.02,67.2745,0.0136669,0.0210539,3.62575e-09,0.683346,1.05269,67.2745,0.00176722,0.0136669,0.00176722,0.0210539,0.00176722,5.8183e-09,0.14986,0.683346,0.14986,1.05269,0.14986,67.2745,0.000870323,0.0136669,0.000870323,0.0210539,0.000870323,5.8183e-09,0.0738033,0.683346,0.0738033,1.05269,0.0738033,67.2745,0.000870323,0.0136669,0.000870323,0.0210539,0.000870323,5.8183e-09,0.0738033,0.683346,0.0738033,1.05269,0.0738033
0.025,67.2745,0.0170836,0.0263173,3.62575e-09,0.683346,1.05269,67.2745,0.00124287,0.0170836,0.00124287,0.0263173,0.00124287,5.8183e-09,0.0738033,0.683346,0.0738033,1.05269,0.0738033,67.2745,0.00077912,0.0170836,0.00077912,0.0263173,0.00077912,5.8183e-09,0.0462654,0.683346,0.0462654,1.05269,0.0462654,67.2745,0.00077912,0.0170836,0.00077912,0.0263173,0.00077912,5.8183e-09,0.0462654,0.683346,0.0462654,1.05269,0.0462654
0.03,67.2745,0.0205004,0.0315808,3.62575e-09,0.683346,1.05269,67.2745,0.00101164,0.0205004,0.00101164,0.0315808,0.00101164,5.8183e-09,0.0462654,0.683346,0.0462654,1.05269,0.0462654,67.2745,0.000711187,0.0205004,0.000711187,0.0315808,0.000711187,5.8183e-09,0.0325247,0.683346,0.0325247,1.05269,0.0325247,67.2745,0.000711187,0.0205004,0.000711187,0.0315808,0.000711187,5.8183e-09,0.0325247,0.683346,0.0325247,1.05269,0.0325247
