z | generated   |  predicted |   filtered | smoothed
z,t,x,y,speeed,xz,yz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz
0.,8.97671,0,0,4.07169e-09,-0.491441,-5.94574,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,8.97656,4.6647e+06,-0.00157257,4.6647e+06,-0.0190259,4.6647e+06,0.0287248,9.32941e+08,-0.176927,9.32941e+08,-2.14056,9.32941e+08
0.005,8.97671,-0.0024572,-0.0297287,4.07169e-09,-0.491441,-5.94574,0,1.00001e+09,0,1.00001e+09,0,1.00001e+09,0,1e+09,0,1e+09,0,1e+09,8.97671,0,-0.0024572,0,-0.0297287,0,0.0448824,9.99988e+08,-1.22857e-05,9.99988e+08,-0.00014864,9.99988e+08,8.97671,0,-0.0024572,0,-0.0297287,0,0.0287248,9.32941e+08,-0.176927,9.32941e+08,-2.14056,9.32941e+08
0.01,8.97671,-0.00491441,-0.0594574,4.07169e-09,-0.491441,-5.94574,8.97693,4.99994e+06,-0.00245727,4.99994e+06,-0.0297294,4.99994e+06,0.0448824,9.99988e+08,-1.22857e-05,9.99988e+08,-0.00014864,9.99988e+08,8.97671,0,-0.00491441,0,-0.0594574,0,2.46306e-08,-nan,-0.491441,-nan,-5.94574,-nan,8.97671,0,-0.00491441,0,-0.0594574,0,2.46306e-08,6998.17,-0.491441,12366.2,-5.94574,8744.3
0.015,8.97671,-0.00737161,-0.0891861,4.07169e-09,-0.491441,-5.94574,8.97671,-nan,-0.00737161,-nan,-0.0891861,-nan,2.46306e-08,-nan,-0.491441,-nan,-5.94574,-nan,8.97671,0.00100004,-0.00737161,0.00100004,-0.0891861,0.00100004,2.46306e-08,0.14986,-0.491441,0.14986,-5.94574,0.14986,8.97671,0.00100004,-0.00737161,0.00100004,-0.0891861,0.00100004,2.46306e-08,0.14986,-0.491441,0.14986,-5.94574,0.14986
0.02,8.97671,-0.00982882,-0.118915,4.07169e-09,-0.491441,-5.94574,8.97671,0.00176722,-0.00982882,0.00176722,-0.118915,0.00176722,2.46306e-08,0.14986,-0.491441,0.14986,-5.94574,0.14986,8.97671,0.000870323,-0.00982882,0.000870323,-0.118915,0.000870323,2.46306e-08,0.0738033,-0.491441,0.0738033,-5.94574,0.0738033,8.97671,0.000870323,-0.00982882,0.000870323,-0.118915,0.000870323,2.46306e-08,0.0738033,-0.491441,0.0738033,-5.94574,0.0738033
0.025,8.97671,-0.012286,-0.148644,4.07169e-09,-0.491441,-5.94574,8.97671,0.00124287,-0.012286,0.00124287,-0.148644,0.00124287,2.46306e-08,0.0738033,-0.491441,0.0738033,-5.94574,0.0738033,8.97671,0.00077912,-0.012286,0.00077912,-0.148644,0.00077912,2.46306e-08,0.0462654,-0.491441,0.0462654,-5.94574,0.0462654,8.97671,0.00077912,-0.012286,0.00077912,-0.148644,0.00077912,2.46306e-08,0.0462654,-0.491441,0.0462654,-5.94574,0.0462654
0.03,8.97671,-0.0147432,-0.178372,4.07169e-09,-0.491441,-5.94574,8.97671,0.00101164,-0.0147432,0.00101164,-0.178372,0.00101164,2.46306e-08,0.0462654,-0.491441,0.0462654,-5.94574,0.0462654,8.97671,0.000711187,-0.0147432,0.000711187,-0.178372,0.000711187,2.46306e-08,0.0325247,-0.491441,0.0325247,-5.94574,0.0325247,8.97671,0.000711187,-0.0147432,0.000711187,-0.178372,0.000711187,2.46306e-08,0.0325247,-0.491441,0.0325247,-5.94574,0.0325247
