z | generated   |  predicted |   filtered | smoothed
z,t,x,y,speeed,xz,yz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz
0.,39.82,0,0,4.08582e-09,0.868216,-0.314029,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,39.8193,4.6647e+06,0.00277822,4.6647e+06,-0.00100487,4.6647e+06,0.127421,9.32941e+08,0.312572,9.32941e+08,-0.113056,9.32941e+08
0.005,39.82,0.00434108,-0.00157015,4.08582e-09,0.868216,-0.314029,0,1.00001e+09,0,1.00001e+09,0,1.00001e+09,0,1e+09,0,1e+09,0,1e+09,39.82,0,0.00434108,0,-0.00157015,0,0.199095,9.99988e+08,2.17049e-05,9.99988e+08,-7.85054e-06,9.99988e+08,39.82,0,0.00434108,0,-0.00157015,0,0.127421,9.32941e+08,0.312572,9.32941e+08,-0.113056,9.32941e+08
0.01,39.82,0.00868216,-0.00314029,4.08582e-09,0.868216,-0.314029,39.821,4.99994e+06,0.00434119,4.99994e+06,-0.00157019,4.99994e+06,0.199095,9.99988e+08,2.17049e-05,9.99988e+08,-7.85054e-06,9.99988e+08,39.82,0,0.00868216,0,-0.00314029,0,5.56127e-09,-nan,0.868216,-nan,-0.314029,-nan,39.82,0,0.00868216,0,-0.00314029,0,5.56127e-09,6998.17,0.868216,12366.2,-0.314029,8744.3
0.015,39.82,0.0130232,-0.00471044,4.08582e-09,0.868216,-0.314029,39.82,-nan,0.0130232,-nan,-0.00471044,-nan,5.56127e-09,-nan,0.868216,-nan,-0.314029,-nan,39.82,0.00100004,0.0130232,0.00100004,-0.00471044,0.00100004,5.56127e-09,0.14986,0.868216,0.14986,-0.314029,0.14986,39.82,0.00100004,0.0130232,0.00100004,-0.00471044,0.00100004,5.56127e-09,0.14986,0.868216,0.14986,-0.314029,0.14986
0.02,39.82,0.0173643,-0.00628059,4.08582e-09,0.868216,-0.314029,39.82,0.00176722,0.0173643,0.00176722,-0.00628059,0.00176722,5.56127e-09,0.14986,0.868216,0.14986,-0.314029,0.14986,39.82,0.000870323,0.0173643,0.000870323,-0.00628059,0.000870323,5.56127e-09,0.0738033,0.868216,0.0738033,-0.314029,0.0738033,39.82,0.000870323,0.0173643,0.000870323,-0.00628059,0.000870323,5.56127e-09,0.0738033,0.868216,0.0738033,-0.314029,0.0738033
0.025,39.82,0.0217054,-0.00785073,4.08582e-09,0.868216,-0.314029,39.82,0.00124287,0.0217054,0.00124287,-0.00785073,0.00124287,5.56127e-09,0.0738033,0.868216,0.0738033,-0.314029,0.0738033,39.82,0.00077912,0.0217054,0.00077912,-0.00785073,0.00077912,5.56127e-09,0.0462654,0.868216,0.0462654,-0.314029,0.0462654,39.82,0.00077912,0.0217054,0.00077912,-0.00785073,0.00077912,5.56127e-09,0.0462654,0.868216,0.0462654,-0.314029,0.0462654
0.03,39.82,0.0260465,-0.00942088,4.08582e-09,0.868216,-0.314029,39.82,0.00101164,0.0260465,0.00101164,-0.00942088,0.00101164,5.56127e-09,0.0462654,0.868216,0.0462654,-0.314029,0.0462654,39.82,0.000711187,0.0260465,0.000711187,-0.00942088,0.000711187,5.56127e-09,0.0325247,0.868216,0.0325247,-0.314029,0.0325247,39.82,0.000711187,0.0260465,0.000711187,-0.00942088,0.000711187,5.56127e-09,0.0325247,0.868216,0.0325247,-0.314029,0.0325247
