z | generated   |  predicted |   filtered | smoothed
z,t,x,y,speeed,xz,yz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz,t,st,x,sx,y,sy,speeed,sspeed,xz,sxz,yz,syz
0.,100.704,0,0,3.76174e-09,-0.127896,-0.187298,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,0,1e+09,100.702,4.6647e+06,-0.000409256,4.6647e+06,-0.000599338,4.6647e+06,0.322244,9.32941e+08,-0.0460445,9.32941e+08,-0.0674302,9.32941e+08
0.005,100.704,-0.000639479,-0.000936489,3.76174e-09,-0.127896,-0.187298,0,1.00001e+09,0,1.00001e+09,0,1.00001e+09,0,1e+09,0,1e+09,0,1e+09,100.704,0,-0.000639479,0,-0.000936489,0,0.503507,9.99988e+08,-3.19731e-06,9.99988e+08,-4.68233e-06,9.99988e+08,100.704,0,-0.000639479,0,-0.000936489,0,0.322244,9.32941e+08,-0.0460445,9.32941e+08,-0.0674302,9.32941e+08
0.01,100.704,-0.00127896,-0.00187298,3.76174e-09,-0.127896,-0.187298,100.706,4.99994e+06,-0.000639495,4.99994e+06,-0.000936512,4.99994e+06,0.503507,9.99988e+08,-3.19731e-06,9.99988e+08,-4.68233e-06,9.99988e+08,100.704,0,-0.00127896,0,-0.00187298,0,3.8575e-09,-nan,-0.127896,-nan,-0.187298,-nan,100.704,0,-0.00127896,0,-0.00187298,0,3.8575e-09,6998.17,-0.127896,12366.2,-0.187298,8744.3
0.015,100.704,-0.00191844,-0.00280947,3.76174e-09,-0.127896,-0.187298,100.704,-nan,-0.00191844,-nan,-0.00280947,-nan,3.8575e-09,-nan,-0.127896,-nan,-0.187298,-nan,100.704,0.00100004,-0.00191844,0.00100004,-0.00280947,0.00100004,3.8575e-09,0.14986,-0.127896,0.14986,-0.187298,0.14986,100.704,0.00100004,-0.00191844,0.00100004,-0.00280947,0.00100004,3.8575e-09,0.14986,-0.127896,0.14986,-0.187298,0.14986
0.02,100.704,-0.00255791,-0.00374595,3.76174e-09,-0.127896,-0.187298,100.704,0.00176722,-0.00255791,0.00176722,-0.00374595,0.00176722,3.8575e-09,0.14986,-0.127896,0.14986,-0.187298,0.14986,100.704,0.000870323,-0.00255791,0.000870323,-0.00374595,0.000870323,3.8575e-09,0.0738033,-0.127896,0.0738033,-0.187298,0.0738033,100.704,0.000870323,-0.00255791,0.000870323,-0.00374595,0.000870323,3.8575e-09,0.0738033,-0.127896,0.0738033,-0.187298,0.0738033
0.025,100.704,-0.00319739,-0.00468244,3.76174e-09,-0.127896,-0.187298,100.704,0.00124287,-0.00319739,0.00124287,-0.00468244,0.00124287,3.8575e-09,0.0738033,-0.127896,0.0738033,-0.187298,0.0738033,100.704,0.00077912,-0.00319739,0.00077912,-0.00468244,0.00077912,3.8575e-09,0.0462654,-0.127896,0.0462654,-0.187298,0.0462654,100.704,0.00077912,-0.00319739,0.00077912,-0.00468244,0.00077912,3.8575e-09,0.0462654,-0.127896,0.0462654,-0.187298,0.0462654
0.03,100.704,-0.00383687,-0.00561893,3.76174e-09,-0.127896,-0.187298,100.704,0.00101164,-0.00383687,0.00101164,-0.00561893,0.00101164,3.8575e-09,0.0462654,-0.127896,0.0462654,-0.187298,0.0462654,100.704,0.000711187,-0.00383687,0.000711187,-0.00561893,0.000711187,3.8575e-09,0.0325247,-0.127896,0.0325247,-0.187298,0.0325247,100.704,0.000711187,-0.00383687,0.000711187,-0.00561893,0.000711187,3.8575e-09,0.0325247,-0.127896,0.0325247,-0.187298,0.0325247
